MD,INC,AZ,TVD
m,deg,deg,m
0,0,0,0
91,0.09,82.02,91
231,0.26,44.49,231
260,1.23,322.2,260
289,2.38,310.22,288.98
318,3.7,313.92,317.94
360,5.52,317.17,359.8
388,6.15,315.24,387.66
416,6.08,314.65,415.5
445,6.04,314.57,444.34
474,6,312.83,473.18
502,6.37,311.15,501.01
530,6.18,312.91,528.85
558,6.19,314.1,556.68
586,6.07,318.76,584.52
615,5.8,317.98,613.37
643,5.64,319.11,641.23
671,5.58,318.16,669.09
699,5.91,319.39,696.95
728,5.75,314.58,725.8
757,5.87,311.28,754.65
785,6.89,314.29,782.48
814,7.17,314.61,811.26
842,7.06,316.31,839.05
870,7.02,315.83,866.84
899,6.68,318.91,895.63
926,6.66,318.84,922.45
954,6.56,318.45,950.26
983,5.89,317.2,979.09
1012,5.38,317.58,1007.95
1040,5.16,317.16,1035.83
1068,4.9,315.61,1063.72
1106,4.34,319.15,1101.6
1133,6.7,317.54,1128.47
1163,10.28,318.32,1158.14
1191,12.97,319.26,1185.56
1219,15.75,318.14,1212.68
1249,19.08,317.21,1241.31
1276,21.69,316.92,1266.61
1304,24.73,315.69,1292.34
1332,27.44,315.14,1317.49
1359,29.65,315.07,1341.21
1386,31.88,315.27,1364.4
1415,34.74,314.12,1388.64
1441,35.31,313.76,1409.93
1479,35.12,314.77,1440.97
1507,36.24,315.26,1463.72
1535,39.18,315.41,1485.87
1564,41.77,316.01,1507.93
1593,44.88,315.53,1529.02
1621,47.68,315.48,1548.37
1649,50.37,315.82,1566.73
1677,53.26,316.07,1584.04
1705,55.92,316.3,1600.26
1734,58.83,316.16,1615.89
1761,61.23,316.21,1629.38
1790,64.09,316.75,1642.7
1818,66.71,316.92,1654.35
1846,67.14,316.91,1665.33
1875,67.54,316.89,1676.5
1903,67.67,316.12,1687.17
1931,67.58,316.56,1697.82
1959,66.99,316.13,1708.64
1988,67.22,315.57,1719.92
2016,66.95,315.75,1730.82
2045,67.51,315.73,1742.05
2073,67.44,316,1752.77
2101,67.25,315.84,1763.56
2130,67.02,315.97,1774.82
2158,66.89,316.01,1785.79
2186,66.98,315.78,1796.76
2215,67.01,315.66,1808.09
2243,67.31,316.06,1818.96
2272,67.14,316.22,1830.18
2300,67.29,315.47,1841.03
2328,66.99,314.95,1851.91
2356,67.25,315.03,1862.79
2384,67.46,314.98,1873.57
2412,67.08,315.07,1884.39
2441,67.52,315.38,1895.58
2470,67.35,315.43,1906.71
2498,67.31,315.83,1917.5
2526,67.49,315.15,1928.26
2554,67.22,315.03,1939.04
2582,67.07,315.39,1949.92
2610,67.07,315.87,1960.83
2638,66.87,315.68,1971.78
2666,66.89,315.88,1982.78
2695,67.43,315.64,1994.03
2723,66.4,315.68,2005.01
2752,64.93,315.57,2016.96
2779,66.06,315.48,2028.16
2807,67.05,315.63,2039.3
2836,67.72,315.4,2050.45
2865,68.03,315.68,2061.37
2894,67.69,316.09,2072.3
2923,67.28,316.17,2083.41
2951,67.51,316.24,2094.17
2979,67.59,316.48,2104.86
3008,67.09,316.34,2116.04
3036,66.49,316.69,2127.07
3065,67.65,316.04,2138.37
3093,67.21,315.69,2149.12
3121,67.65,316.06,2159.86
3149,67.64,316.25,2170.51
3177,67.19,316.9,2181.27
3205,67.34,317.31,2192.09
3233,67.62,316.41,2202.81
3261,67.05,316.21,2213.6
3289,67.39,316.26,2224.44
3317,67.82,316.57,2235.11
3345,67.42,316.39,2245.77
3374,67.82,316.37,2256.81
3402,67.77,316.8,2267.39
3430,67.9,316.67,2277.96
3458,67.4,316.68,2288.6
3487,67.58,316.27,2299.71
3515,67.04,315.07,2310.51
3544,67.18,315.15,2321.79
3572,66.88,315.84,2332.72
3601,67.7,315.82,2343.91
3629,67.31,314.8,2354.62
3657,67.24,314.36,2365.44
3685,66.87,314.47,2376.36
3714,67.4,314.59,2387.63
3743,67.83,315.25,2398.67
3771,67.7,315.67,2409.26
3800,66.46,315.21,2420.56
3828,65.51,314.62,2431.95
3856,64.85,315.24,2443.71
3884,65.64,315.37,2455.43
3913,65.36,315.99,2467.46
3941,65.77,316.67,2479.04
3970,65.37,315.86,2491.03
4002,65.62,315.28,2504.31
4030,65.9,315.09,2515.8
4058,65.67,316.12,2527.29
4087,64.94,316.03,2539.4
4115,65.68,316.81,2551.1
4143,65.5,316.84,2562.67
4171,65.3,317.7,2574.33
4200,65.74,318.07,2586.34
4229,65.55,317.32,2598.3
4257,65.4,317.48,2609.93
4285,65.26,317.72,2621.61
4314,65.2,317.08,2633.76
4326,65.36,317.38,2638.78
4335,65.36,317.38,2642.53
