MD,INC,AZ,TVD
m,deg,deg,m
0,0,0,0
30,0,0,30
60,0,0,60
90,0,0,90
120,0,0,120
150,0,0,150
180,0,0,180
210,0,0,210
240,0,0,240
245,0,0,245
270,1,125,270
300,2.2,125,299.99
330,3.4,125,329.95
360,4.6,125,359.88
390,5.8,125,389.75
395,6,125,394.73
420,6,125,419.59
450,6,125,449.42
480,6,125,479.26
510,6,125,509.1
540,6,125,538.93
570,6,125,568.77
600,6,125,598.6
630,6,125,628.44
660,6,125,658.27
690,6,125,688.11
720,6,125,717.95
750,6,125,747.78
780,6,125,777.62
810,6,125,807.45
840,6,125,837.29
870,6,125,867.12
900,6,125,896.96
930,6,125,926.8
960,6,125,956.63
990,6,125,986.47
1020,6,125,1016.3
1050,6,125,1046.14
1080,6,125,1075.97
1098.13,6,125,1094
1110,7.04,128.49,1105.8
1140,9.72,133.96,1135.47
1170,12.46,137.06,1164.91
1200,15.22,139.05,1194.04
1230,17.99,140.44,1222.78
1260,20.77,141.47,1251.08
1290,23.55,142.27,1278.86
1320,26.34,142.91,1306.06
1337.84,28,143.23,1321.94
1350,28,143.23,1332.67
1380,28,143.23,1359.16
1410,28,143.23,1385.65
1437.84,28,143.23,1410.23
1440,28.2,143.25,1412.13
1470,31,143.44,1438.21
1500,33.8,143.6,1463.54
1530,36.6,143.75,1488.05
1560,39.4,143.87,1511.69
1590,42.19,143.98,1534.4
1620,44.99,144.08,1556.13
1650,47.79,144.17,1576.82
1680,50.59,144.25,1596.42
1710,53.39,144.33,1614.89
1730.07,55.26,144.38,1626.59
1740,55.26,144.38,1632.25
1770,55.26,144.38,1649.35
1800,55.26,144.38,1666.44
1830,55.26,144.38,1683.53
1860,55.26,144.38,1700.63
1890,55.26,144.38,1717.72
1920,55.26,144.38,1734.81
1950,55.26,144.38,1751.91
1980,55.26,144.38,1769
2010,55.26,144.38,1786.1
2040,55.26,144.38,1803.19
2070,55.26,144.38,1820.28
2100,55.26,144.38,1837.38
2130,55.26,144.38,1854.47
2160,55.26,144.38,1871.56
2190,55.26,144.38,1888.66
2220,55.26,144.38,1905.75
2250,55.26,144.38,1922.85
2280,55.26,144.38,1939.94
2310,55.26,144.38,1957.03
2340,55.26,144.38,1974.13
2370,55.26,144.38,1991.22
2400,55.26,144.38,2008.31
2430,55.26,144.38,2025.41
2460,55.26,144.38,2042.5
2490,55.26,144.38,2059.59
2520,55.26,144.38,2076.69
2550,55.26,144.38,2093.78
2580,55.26,144.38,2110.88
2610,55.26,144.38,2127.97
2640,55.26,144.38,2145.06
2670,55.26,144.38,2162.16
2700,55.26,144.38,2179.25
2730,55.26,144.38,2196.34
2760,55.26,144.38,2213.44
2790,55.26,144.38,2230.53
2820,55.26,144.38,2247.63
2850,55.26,144.38,2264.72
2880,55.26,144.38,2281.81
2910,55.26,144.38,2298.91
2940,55.26,144.38,2316
2970,55.26,144.38,2333.09
3000,55.26,144.38,2350.19
3030,55.26,144.38,2367.28
3060,55.26,144.38,2384.37
3090,55.26,144.38,2401.47
3120,55.26,144.38,2418.56
3150,55.26,144.38,2435.66
3180,55.26,144.38,2452.75
3210,55.26,144.38,2469.84
3240,55.26,144.38,2486.94
3270,55.26,144.38,2504.03
3300,55.26,144.38,2521.12
3330,55.26,144.38,2538.22
3360,55.26,144.38,2555.31
3370.16,55.26,144.38,2561.1
3390,55.26,144.38,2572.4
3420,55.26,144.38,2589.5
3421.06,55.26,144.38,2590.1
3438.61,55.26,144.38,2600.1
3450,55.26,144.38,2606.59
3468.61,55.26,144.38,2617.19
