MD,INC,AZ,TVD
m,deg,deg,m
0,0,0,0
76,0.09,114.71,75.99997656
104,0.35,254.44,103.9997702
123,0.35,53.39,122.9994157
151,0.44,46.16,150.9987503
179,0.44,7.22,178.9979246
212,0.44,99.02,211.9969516
255,1.59,36.29,254.9902045
283,2.56,26.6,282.9718446
311,3.26,26.43,310.9357389
331,4.24,28.73,330.8929174
361,6.04,24.16,360.7722802
389,6.45,25.42,388.6061236
417,6.51,26.37,416.4272403
447,6.53,24.88,446.2332087
474,6.6,26.48,473.0561641
502,6.86,25.63,500.863228
530,6.55,25.78,528.671721
558,6.87,24.1,556.4799286
586,6.92,25.04,584.2774276
614,6.75,25.97,612.0784314
642,6.54,27.5,639.8903327
670,6.58,28.23,667.7070101
698,6.45,24.11,695.5261913
726,6.38,22.83,723.350875
754,6.14,24.55,751.18392
782,5.61,24.91,779.0368521
810,5.39,25.3,806.9079456
838,5.99,22.55,834.7699865
866,6.06,22.71,862.6153199
894,5.38,22.7,890.4759034
922,5.2,23.73,918.3566459
951,5.81,24.13,947.222893
981,5.9,24.18,977.0663903
1010,4.89,22.82,1005.937925
1038,4.96,22.15,1033.834547
1067,5.6,21.55,1062.711497
1107,5.8,12.01,1102.51372
1136,5.96,13.24,1131.36114
1164,6.69,17.34,1159.190704
1192,8.15,21.51,1186.956236
1220,10.01,23.34,1214.605366
1248,11.99,24.01,1242.090928
1276,14.11,22.38,1269.367782
1304,16.42,23.08,1296.379898
1332,18.44,23.91,1323.09424
1360,20.84,23.96,1349.465285
1389,23.16,23.28,1376.353617
1418,25.35,23.13,1402.793676
1451,26.08,23.14,1432.52547
1478,26.14,23.27,1456.770141
1507,28.11,23.35,1482.580546
1535,30.57,23.09,1506.988913
1563,32.72,22.78,1530.825737
1591,35.21,23.23,1554.048349
1619,37.19,23.15,1576.643238
1648,39.02,23.17,1599.462792
1676,41.29,23,1620.863269
1703,43.71,22.9,1640.769757
1733,46.42,22.81,1661.958881
1761,48.57,22.58,1680.877208
1789,50.16,22.45,1699.11187
1817,50.12,22.48,1717.057459
1846,50.27,22.4,1735.622584
1875,49.81,22.49,1754.247911
1903,49.97,22.46,1772.287111
1931,50.07,22.43,1790.277675
1960,50.47,22.59,1808.813622
1988,49.9,22.79,1826.742325
2044,50.14,23.2,1862.723455
2073,50.44,23.39,1881.251615
2101,50.22,23.38,1899.125832
2129,50.47,23.64,1916.994405
2158,50.56,23.3,1935.434815
2186,49.95,23.08,1953.337228
2215,49.87,23.16,1972.012941
2243,50.32,22.86,1989.975406
2272,50.78,22.73,2008.402139
2300,50.68,22.69,2026.125456
2328,50.48,22.96,2043.905462
2356,50.23,22.63,2061.770273
2385,50.27,22.6,2080.314004
2413,50.36,23.02,2098.193862
2441,50.31,22.73,2116.066198
2470,50.66,22.73,2134.518324
2498,50.52,22.12,2152.294554
2527,50.71,22.07,2170.695872
2555,50.84,21.67,2188.402158
2583,50.25,20.82,2206.195374
2611,50.53,20.16,2224.047011
2639,51.02,18.79,2241.753297
2667,50.85,17.96,2259.398943
2696,50.77,15.59,2277.72387
2724,50.67,13.7,2295.45097
2753,52.23,12.27,2313.523693
2782,53.09,9.76,2331.113458
2810,53.92,7.46,2347.766531
2838,54.94,4.89,2364.054052
2866,56.3,2.48,2379.865062
2894,57.48,0.01,2395.160011
2923,59.12,357.53,2410.398689
2951,60.71,354.55,2424.434647
2979,62.74,351.43,2437.698358
3008,65.35,348.7,2450.390646
3036,66.62,346.32,2461.785969
3064,67.96,343.29,2472.595846
3092,69.09,340.23,2482.846512
3120,70.25,336.91,2492.574459
3148,71.84,334.29,2501.669572
3176,74.01,332.14,2509.891023
3204,75.57,330.78,2517.237036
3233,76.47,329.55,2524.242948
3261,78.82,327.87,2530.234057
3289,80.85,326.79,2535.175595
3319,83.99,324.9,2539.132907
3346,84.89,323.89,2541.748885
3375,84.99,323.65,2544.306653
3395,85.42,322.52,2545.978471
3403,85.42,322.52,2546.617278
3432,84.87,321.46,2549.071675
3460,85.45,320.31,2551.434133
3489,84.77,320.1,2553.906181
3510,85.15,319.14,2555.751056
3513,85.2,319,2556.003394
3530,85.2,319,2557.425917
3540,86.13,319,2558.181796
3570,88.92,319,2559.4773
3587,90.5,319,2559.563344
3600,90.54,318.09,2559.445362
3630,90.62,315.99,2559.14168
3660,90.7,313.9,2558.796112
3680,90.75,312.5,2558.543046
3690,90.71,311.96,2558.415641
3720,90.58,310.33,2558.077926
3750,90.46,308.71,2557.805659
3780,90.33,307.08,2557.598839
3800,90.25,306,2557.49761
3810,90.2,305.84,2557.45834
3840,90.05,305.36,2557.392891
3870,89.9,304.89,2557.405981
3879.44,89.85,304.74,2557.426576
3900,89.85,304.74,2557.480401
3930,89.85,304.74,2557.558941
3960,89.85,304.74,2557.637481
3990,89.85,304.74,2557.716021
4020,89.85,304.74,2557.79456
4050,89.85,304.74,2557.8731
4080,89.85,304.74,2557.95164
4091.04,89.85,304.74,2557.980542
