MD,INC,AZ,TVD
m,deg,deg,m
0,0,0,0
30,0,0,30
60,0,0,60
90,0,0,90
120,0,0,120
150,0,0,150
180,0,0,180
210,0,0,210
231,0,0,231
240,0.45,23,240
270,1.95,23,269.99
300,3.45,23,299.96
330,4.95,23,329.88
351,6,23,350.78
360,6,23,359.73
390,6,23,389.57
420,6,23,419.4
450,6,23,449.24
480,6,23,479.07
510,6,23,508.91
540,6,23,538.75
570,6,23,568.58
600,6,23,598.42
630,6,23,628.25
660,6,23,658.09
690,6,23,687.92
720,6,23,717.76
750,6,23,747.6
780,6,23,777.43
810,6,23,807.27
840,6,23,837.1
870,6,23,866.94
900,6,23,896.77
930,6,23,926.61
960,6,23,956.44
990,6,23,986.28
1020,6,23,1016.12
1050,6,23,1045.95
1080,6,23,1075.79
1110,6,23,1105.62
1140,6,23,1135.46
1150,6,23,1145.4
1170,7.33,23,1165.27
1200,9.33,23,1194.95
1230,11.33,23,1224.46
1260,13.33,23,1253.77
1290,15.33,23,1282.83
1320,17.33,23,1311.62
1350,19.33,23,1340.1
1380,21.33,23,1368.23
1410,23.33,23,1395.97
1440,25.33,23,1423.31
1450,26,23,1432.32
1470,26,23,1450.3
1486.36,26,23,1465
1500,27.14,23,1477.2
1530,29.64,23,1503.59
1560,32.14,23,1529.33
1590,34.64,23,1554.38
1620,37.14,23,1578.68
1650,39.64,23,1602.2
1680,42.14,23,1624.88
1710,44.64,23,1646.68
1740,47.14,23,1667.56
1770,49.64,23,1687.48
1774.36,50,23,1690.29
1800,50,23,1706.77
1830,50,23,1726.06
1860,50,23,1745.34
1890,50,23,1764.62
1920,50,23,1783.91
1950,50,23,1803.19
1980,50,23,1822.47
2010,50,23,1841.76
2040,50,23,1861.04
2070,50,23,1880.33
2100,50,23,1899.61
2130,50,23,1918.89
2160,50,23,1938.18
2190,50,23,1957.46
2220,50,23,1976.74
2250,50,23,1996.03
2280,50,23,2015.31
2310,50,23,2034.59
2340,50,23,2053.88
2370,50,23,2073.16
2400,50,23,2092.45
2430,50,23,2111.73
2460,50,23,2131.01
2490,50,23,2150.3
2520,50,23,2169.58
2550,50,23,2188.86
2580,50,23,2208.15
2610,50,23,2227.43
2640,50,23,2246.71
2670,50,23,2266
2674.36,50,23,2268.8
2700,50.71,19.91,2285.16
2730,51.64,16.38,2303.97
2760,52.68,12.95,2322.38
2790,53.81,9.61,2340.34
2820,55.03,6.37,2357.8
2850,56.33,3.23,2374.72
2880,57.71,0.18,2391.05
2910,59.16,357.23,2406.75
2940,60.68,354.37,2421.79
2970,62.26,351.6,2436.12
3000,63.89,348.9,2449.71
3030,65.57,346.28,2462.52
3060,67.29,343.73,2474.52
3090,69.05,341.25,2485.67
3120,70.85,338.82,2495.96
3150,72.67,336.45,2505.35
3180,74.53,334.12,2513.82
3210,76.41,331.83,2521.35
3240,78.31,329.58,2527.92
3270,80.23,327.36,2533.5
3300,82.16,325.17,2538.1
3330,84.1,323,2541.69
3343.84,85,322,2543
3360,85,322,2544.41
3390,85,322,2547.02
3420,85,322,2549.64
3450,85,322,2552.25
3464.89,85,322,2553.55
3480,85,322,2554.87
3482.89,85,322,2555.12
3510,87.44,322,2556.91
3532.89,89.5,322,2557.52
3540,89.51,321.41,2557.58
3570,89.57,318.91,2557.82
3600,89.64,316.41,2558.02
3630,89.7,313.91,2558.2
3660,89.76,311.41,2558.34
3690,89.82,308.91,2558.45
3720,89.89,306.41,2558.52
3723.5,89.9,306.12,2558.53
3750,89.9,306.12,2558.58
3780,89.9,306.12,2558.63
3810,89.9,306.12,2558.69
3840,89.9,306.12,2558.74
3870,89.9,306.12,2558.8
3900,89.9,306.12,2558.85
3930,89.9,306.12,2558.91
3960,89.9,306.12,2558.96
3990,89.9,306.12,2559.01
4020,89.9,306.12,2559.07
4050,89.9,306.12,2559.12
4080,89.9,306.12,2559.18
4097.32,89.9,306.12,2559.21
