MD,INC,AZ,TVD
m,deg,deg,m
0,0,0,0
0.1524,0,0,0.1524
0.3048,0,0,0.3048
0.4572,0,0,0.4572
0.6096,0,0,0.6096
0.762,0,0,0.762
0.9144,0,0,0.9144
1.0668,0,0,1.0668
1.2192,0,0,1.2192
1.3716,0,0,1.3716
1.524,0,0,1.524
1.6764,0,0,1.6764
1.8288,0,0,1.8288
1.9812,0,0,1.9812
2.1336,0,0,2.1336
2.286,0,0,2.286
2.4384,0,0,2.4384
2.5908,0,0,2.5908
2.7432,0,0,2.7432
2.8956,0,0,2.8956
3.048,0,0,3.048
3.2004,0,0,3.2004
3.3528,0,0,3.3528
3.5052,0,0,3.5052
3.6576,0,0,3.6576
3.81,0,0,3.81
3.9624,0,0,3.9624
4.1148,0,0,4.1148
4.2672,0,0,4.2672
4.4196,0,0,4.4196
4.572,0,0,4.572
4.7244,0,0,4.7244
4.8768,0,0,4.8768
5.0292,0,0,5.0292
5.1816,0,0,5.1816
5.334,0,0,5.334
5.4864,0,0,5.4864
5.6388,0,0,5.6388
5.7912,0,0,5.7912
5.9436,0,0,5.9436
6.096,0,0,6.096
6.2484,0,0,6.2484
6.4008,0,0,6.4008
6.5532,0,0,6.5532
6.7056,0,0,6.7056
6.858,0,0,6.858
7.0104,0,0,7.0104
7.1628,0,0,7.1628
7.3152,0,0,7.3152
7.4676,0,0,7.4676
7.62,0,0,7.62
7.7724,0,0,7.7724
7.9248,0,0,7.9248
8.0772,0,0,8.0772
8.2296,0,0,8.2296
8.382,0,0,8.382
8.5344,0,0,8.5344
8.6868,0,0,8.6868
8.8392,0,0,8.8392
8.9916,0,0,8.9916
9.144,0,0,9.144
9.2964,0,0,9.2964
9.4488,0,0,9.4488
9.6012,0,0,9.6012
9.7536,0,0,9.7536
9.906,0,0,9.906
10.0584,0,0,10.0584
10.2108,0,0,10.2108
10.3632,0,0,10.3632
10.5156,0,0,10.5156
10.668,0,0,10.668
10.8204,0,0,10.8204
10.9728,0,0,10.9728
11.1252,0,0,11.1252
11.2776,0,0,11.2776
11.43,0,0,11.43
11.5824,0,0,11.5824
11.7348,0,0,11.7348
11.8872,0,0,11.8872
12.0396,0,0,12.0396
12.192,0,0,12.192
12.3444,0,0,12.3444
12.4968,0,0,12.4968
12.6492,0,0,12.6492
12.8016,0,0,12.8016
12.954,0,0,12.954
13.1064,0,0,13.1064
13.2588,0,0,13.2588
13.4112,0,0,13.4112
13.5636,0,0,13.5636
13.716,0,0,13.716
13.8684,0,0,13.8684
14.0208,0,0,14.0208
14.1732,0,0,14.1732
14.3256,0,0,14.3256
14.478,0,0,14.478
14.6304,0,0,14.6304
14.7828,0,0,14.7828
14.9352,0,0,14.9352
15.0876,0,0,15.0876
15.24,0,0,15.24
15.3924,0,0,15.3924
15.5448,0,0,15.5448
15.6972,0,0,15.6972
15.8496,0,0,15.8496
16.002,0,0,16.002
16.1544,0,0,16.1544
16.3068,0,0,16.3068
16.4592,0,0,16.4592
16.6116,0,0,16.6116
16.764,0,0,16.764
16.9164,0,0,16.9164
17.0688,0,0,17.0688
17.2212,0,0,17.2212
17.3736,0,0,17.3736
17.526,0,0,17.526
17.6784,0,0,17.6784
17.8308,0,0,17.8308
17.9832,0,0,17.9832
18.1356,0,0,18.1356
18.288,0,0,18.288
18.4404,0,0,18.4404
18.5928,0,0,18.5928
18.7452,0,0,18.7452
18.8976,0,0,18.8976
19.05,0,0,19.05
19.2024,0,0,19.2024
19.3548,0,0,19.3548
19.5072,0,0,19.5072
19.6596,0,0,19.6596
19.812,0,0,19.812
19.9644,0,0,19.9644
20.1168,0,0,20.1168
20.2692,0,0,20.2692
20.4216,0,0,20.4216
20.574,0,0,20.574
20.7264,0,0,20.7264
20.8788,0,0,20.8788
21.0312,0,0,21.0312
21.1836,0,0,21.1836
21.336,0,0,21.336
21.4884,0,0,21.4884
21.6408,0,0,21.6408
21.7932,0,0,21.7932
21.9456,0,0,21.9456
22.098,0,0,22.098
22.2504,0,0,22.2504
22.4028,0,0,22.4028
22.5552,0,0,22.5552
22.7076,0,0,22.7076
22.86,0,0,22.86
23.0124,0,0,23.0124
23.1648,0,0,23.1648
23.3172,0,0,23.3172
23.4696,0,0,23.4696
23.622,0,0,23.622
23.7744,0,0,23.7744
23.9268,0,0,23.9268
24.0792,0,0,24.0792
24.2316,0,0,24.2316
24.384,0,0,24.384
24.5364,0,0,24.5364
24.6888,0,0,24.6888
24.8412,0,0,24.8412
24.9936,0,0,24.9936
25.146,0,0,25.146
25.2984,0,0,25.2984
25.4508,0,0,25.4508
25.6032,0,0,25.6032
25.7556,0,0,25.7556
25.908,0,0,25.908
26.0604,0,0,26.0604
26.2128,0,0,26.2128
26.3652,0,0,26.3652
26.5176,0,0,26.5176
26.67,0,0,26.67
26.8224,0,0,26.8224
26.9748,0,0,26.9748
27.1272,0,0,27.1272
27.2796,0,0,27.2796
27.432,0,0,27.432
27.5844,0,0,27.5844
27.7368,0,0,27.7368
27.8892,0,0,27.8892
28.0416,0,0,28.0416
28.194,0,0,28.194
28.3464,0,0,28.3464
28.4988,0,0,28.4988
28.6512,0,0,28.6512
28.8036,0,0,28.8036
28.956,0,0,28.956
29.1084,0,0,29.1084
29.2608,0,0,29.2608
29.4132,0,0,29.4132
29.5656,0,0,29.5656
29.718,0,0,29.718
29.8704,0,0,29.8704
30.0228,0,0,30.0228
30.1752,0,0,30.1752
30.3276,0,0,30.3276
30.48,0,0,30.48
30.6324,0,0,30.6324
30.7848,0,0,30.7848
30.9372,0,0,30.9372
31.0896,0,0,31.0896
31.242,0,0,31.242
31.3944,0,0,31.3944
31.5468,0,0,31.5468
31.6992,0,0,31.6992
31.8516,0,0,31.8516
32.004,0,0,32.004
32.1564,0,0,32.1564
32.3088,0,0,32.3088
32.4612,0,0,32.4612
32.6136,0,0,32.6136
32.766,0,0,32.766
32.9184,0,0,32.9184
33.0708,0,0,33.0708
33.2232,0,0,33.2232
33.3756,0,0,33.3756
33.528,0,0,33.528
33.6804,0,0,33.6804
33.8328,0,0,33.8328
33.9852,0,0,33.9852
34.1376,0,0,34.1376
34.29,0,0,34.29
34.4424,0,0,34.4424
34.5948,0,0,34.5948
34.7472,0,0,34.7472
34.8996,0,0,34.8996
35.052,0,0,35.052
35.2044,0,0,35.2044
35.3568,0,0,35.3568
35.5092,0,0,35.5092
35.6616,0,0,35.6616
35.814,0,0,35.814
35.9664,0,0,35.9664
36.1188,0,0,36.1188
36.2712,0,0,36.2712
36.4236,0,0,36.4236
36.576,0,0,36.576
36.7284,0,0,36.7284
36.8808,0,0,36.8808
37.0332,0,0,37.0332
37.1856,0,0,37.1856
37.338,0,0,37.338
37.4904,0,0,37.4904
37.6428,0,0,37.6428
37.7952,0,0,37.7952
37.9476,0,0,37.9476
38.1,0,0,38.1
38.2524,0,0,38.2524
38.4048,0,0,38.4048
38.5572,0,0,38.5572
38.7096,0,0,38.7096
38.862,0,0,38.862
39.0144,0,0,39.0144
39.1668,0,0,39.1668
39.3192,0,0,39.3192
39.4716,0,0,39.4716
39.624,0,0,39.624
39.7764,0,0,39.7764
39.9288,0,0,39.9288
40.0812,0,0,40.0812
40.2336,0,0,40.2336
40.386,0,0,40.386
40.5384,0,0,40.5384
40.6908,0,0,40.6908
40.8432,0,0,40.8432
40.9956,0,0,40.9956
41.148,0,0,41.148
41.3004,0,0,41.3004
41.4528,0,0,41.4528
41.6052,0,0,41.6052
41.7576,0,0,41.7576
41.91,0,0,41.91
42.0624,0,0,42.0624
42.2148,0,0,42.2148
42.3672,0,0,42.3672
42.5196,0,0,42.5196
42.672,0,0,42.672
42.8244,0,0,42.8244
42.9768,0,0,42.9768
43.1292,0,0,43.1292
43.2816,0,0,43.2816
43.434,0,0,43.434
43.5864,0,0,43.5864
43.7388,0,0,43.7388
43.8912,0,0,43.8912
44.0436,0,0,44.0436
44.196,0,0,44.196
44.3484,0,0,44.3484
44.5008,0,0,44.5008
44.6532,0,0,44.6532
44.8056,0,0,44.8056
44.958,0,0,44.958
45.1104,0,0,45.1104
45.2628,0,0,45.2628
45.4152,0,0,45.4152
45.5676,0,0,45.5676
45.72,0,0,45.72
45.8724,0,0,45.8724
46.0248,0,0,46.0248
46.1772,0,0,46.1772
46.3296,0,0,46.3296
46.482,0,0,46.482
46.6344,0,0,46.6344
46.7868,0,0,46.7868
46.9392,0,0,46.9392
47.0916,0,0,47.0916
47.244,0,0,47.244
47.3964,0,0,47.3964
47.5488,0,0,47.5488
47.7012,0,0,47.7012
47.8536,0,0,47.8536
48.006,0,0,48.006
48.1584,0,0,48.1584
48.3108,0,0,48.3108
48.4632,0,0,48.4632
48.6156,0,0,48.6156
48.768,0,0,48.768
48.9204,0,0,48.9204
49.0728,0,0,49.0728
49.2252,0,0,49.2252
49.3776,0,0,49.3776
49.53,0,0,49.53
49.6824,0,0,49.6824
49.8348,0,0,49.8348
49.9872,0,0,49.9872
50.1396,0,0,50.1396
50.292,0,0,50.292
50.4444,0,0,50.4444
50.5968,0,0,50.5968
50.7492,0,0,50.7492
50.9016,0,0,50.9016
51.054,0,0,51.054
51.2064,0,0,51.2064
51.3588,0,0,51.3588
51.5112,0,0,51.5112
51.6636,0,0,51.6636
51.816,0,0,51.816
51.9684,0,0,51.9684
52.1208,0,0,52.1208
52.2732,0,0,52.2732
52.4256,0,0,52.4256
52.578,0,0,52.578
