MD,INC,AZ,TVD
m,deg,deg,m
0,0,359.7137664,0
15,0.19,172.6537664,14.99997251
30,0.38,172.6537664,29.99978007
35,0.334994544,172.9394381,34.99968261
40,0.29,173.3137664,39.99960811
45,0.234748834,171.2269839,44.99955551
50,0.18,167.8637664,49.99952259
55,0.156949987,157.998919,54.99950104
60,0.14,145.2737664,59.99948437
65,0.124882742,143.0739537,64.999471
70,0.11,140.2737664,69.99946049
75,0.078434048,156.6694699,74.99945376
80,0.06,187.8337664,79.99945026
85,0.074817091,192.7370975,84.99944679
90,0.09,196.0037664,89.99944161
95,0.109293048,203.820765,94.99943404
100,0.13,209.2237664,99.99942313
105,0.157872241,197.8967915,104.9994074
110,0.19,190.1737664,109.9993844
115,0.189262475,185.1237664,114.999357
120,0.19,180.0737664,119.9993297
125,0.194999459,179.9353049,124.9993015
130,0.2,179.8037664,129.9992717
135,0.181057222,168.8918035,134.9992442
140,0.17,156.0237664,139.999221
145,0.169994987,155.5837665,144.999199
150,0.17,155.1437664,149.999177
155,0.164110433,160.9176604,154.9991557
160,0.16,167.0537664,159.9991358
165,0.169986624,166.2914114,164.999115
170,0.18,165.6137664,169.9990917
175,0.194342626,160.5298722,174.9990651
180,0.21,156.1737664,179.9990339
185,0.259170601,161.7377897,184.9989919
190,0.31,165.5037664,189.9989301
195,0.323700981,160.1363664,194.9988538
200,0.34,155.2437664,199.99877
205,0.339877993,153.7087664,204.998682
210,0.34,152.1737664,209.998594
215,0.339999968,152.1487664,214.998506
220,0.34,152.1237664,219.998418
225,0.32877782,147.3386808,224.9983329
230,0.32,142.2537664,229.9982529
235,0.223179778,137.6211254,234.9981962
240,0.13,126.1537664,239.998172
245,0.109368884,121.0485871,244.9981611
250,0.09,113.6637664,249.9981535
255,0.062827496,94.69127103,254.9981491
260,0.05,58.87376643,259.9981468
265,0.053819713,14.44107476,264.998145
270,0.08,348.4937664,269.9981416
275,0.083751384,338.058599,274.9981365
280,0.09,328.7937664,279.9981308
285,0.084624771,323.7170571,284.998125
290,0.08,318.0037664,289.9981199
295,0.074901389,320.7522609,294.9981153
300,0.07,323.8937664,299.9981113
305,0.029883523,269.5043002,304.9981095
310,0.06,197.9737664,309.9981082
315,0.06977817,192.7037997,314.998105
320,0.08,188.7537664,319.9981007
325,0.069578646,168.3243347,324.9980966
330,0.07,144.8137664,329.998093
335,0.060436487,124.8990078,334.9980898
340,0.06,101.4837664,339.9980871
345,0.035957404,58.0988554,344.9980855
350,0.05,2.583766427,349.9980842
355,0.104157514,349.5539346,354.9980796
360,0.16,345.5137664,359.9980661
365,0.184926959,343.6691148,364.9980434
370,0.21,342.2637664,369.9980137
375,0.224399883,346.7389302,374.9979778
380,0.24,350.6537664,379.9979367
385,0.192508766,343.4225185,384.9979011
390,0.15,331.8037664,389.9978788
395,0.114593049,318.5565412,394.9978655
400,0.09,296.1037664,399.9978577
405,0.079388509,289.856476,404.9978522
410,0.07,281.8137664,409.997848
415,0.032933376,289.5030593,414.9978459
420,0.01,40.01376643,419.9978456
425,0.014987055,36.64661513,424.9978455
430,0.02,34.96376643,429.9978452
435,0.039086944,56.37448456,434.9978446
440,0.06,63.36376643,439.9978427
445,0.123402146,6.322331116,444.9978369
450,0.22,353.0937664,449.997814
455,0.230511131,5.060517678,454.9977756
460,0.25,15.57376643,459.9977319
465,0.259991633,16.05145899,464.9976824
470,0.27,16.49376643,469.9976289
475,0.239980825,17.13251209,474.9975793
480,0.21,17.95376643,479.9975407
485,0.216101235,35.2687142,484.9975067
490,0.24,50.36376643,489.9974675
495,0.224999587,50.46643312,494.9974263
500,0.21,50.58376643,499.9973903
505,0.214974367,49.67818349,504.9973559
510,0.22,48.81376643,509.9973199
515,0.214989919,49.35585911,514.9972838
520,0.21,49.92376643,519.9972494
525,0.204989138,50.49937574,524.9972167
530,0.2,51.10376643,529.9971854
535,0.194997673,50.83094594,534.9971557
540,0.19,50.54376643,539.9971275
545,0.189785155,47.81876642,544.9971
550,0.19,45.09376643,549.9970726
555,0.22494817,43.65507098,554.9970397
560,0.26,42.60376643,559.9969949
565,0.274945254,41.39630407,564.9969404
570,0.29,40.31376643,569.9968796
575,0.284936469,39.12499748,574.9968167
580,0.28,37.89376643,579.9967559
585,0.269626784,34.99053531,584.9966984
590,0.26,31.86376643,589.9966451
595,0.229698368,29.29018933,594.9965994
